edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	7	2020-01-01	2024-07-01	0.38387507547458977	0.274328943848403	0.9535019914495332
Connecticut_New Jersey	New Jersey	Connecticut	Mideast	New England	USA	USA	7	2020-01-01	2024-07-01	0.38387507547458977	0.274328943848403	0.9535019914495332
Florida_Ohio	Florida	Ohio	Southeast	Great Lakes	USA	USA	7	2020-01-01	2024-10-01	0.34101762814271774	0.3416167232891334	0.4946462415485423
Florida_Ohio	Ohio	Florida	Great Lakes	Southeast	USA	USA	7	2020-01-01	2024-10-01	0.34101762814271774	0.3416167232891334	0.4946462415485423
Maryland_New Jersey	Maryland	New Jersey	Mideast	Mideast	USA	USA	7	2020-01-01	2024-07-01	0.3145051704158303	0.26970675733025945	0.5152026966948973
Maryland_New Jersey	New Jersey	Maryland	Mideast	Mideast	USA	USA	7	2020-01-01	2024-07-01	0.3145051704158303	0.26970675733025945	0.5152026966948973
Florida_Virginia	Florida	Virginia	Southeast	Southeast	USA	USA	7	2020-01-01	2024-07-01	0.2739633398089899	0.27957577183609894	0.30490148515067456
Florida_Virginia	Virginia	Florida	Southeast	Southeast	USA	USA	7	2020-01-01	2024-07-01	0.2739633398089899	0.27957577183609894	0.30490148515067456
California_Colorado	California	Colorado	Far West	Rocky Mountain	USA	USA	7	2020-01-01	2024-07-01	0.24303179196681846	0.23043627298141997	0.28612595002435076
California_Colorado	Colorado	California	Rocky Mountain	Far West	USA	USA	7	2020-01-01	2024-07-01	0.24303179196681846	0.23043627298141997	0.28612595002435076
New Jersey_Ohio	New Jersey	Ohio	Mideast	Great Lakes	USA	USA	6	2020-04-01	2024-10-01	0.5264266703998636	0.46210719747059265	1.0781185882274105
New Jersey_Ohio	Ohio	New Jersey	Great Lakes	Mideast	USA	USA	6	2020-04-01	2024-10-01	0.5264266703998636	0.46210719747059265	1.0781185882274105
Florida_North Carolina	Florida	North Carolina	Southeast	Southeast	USA	USA	6	2020-01-01	2024-10-01	0.3230930248929714	0.24694523792375228	0.7384808185450967
Florida_North Carolina	North Carolina	Florida	Southeast	Southeast	USA	USA	6	2020-01-01	2024-10-01	0.3230930248929714	0.24694523792375228	0.7384808185450967
Florida_Maryland	Florida	Maryland	Southeast	Mideast	USA	USA	6	2020-01-01	2024-07-01	0.2873530179666204	0.27659697749413625	0.4059131672527974
Florida_Maryland	Maryland	Florida	Mideast	Southeast	USA	USA	6	2020-01-01	2024-07-01	0.2873530179666204	0.27659697749413625	0.4059131672527974
Maryland_New York	Maryland	New York	Mideast	Mideast	USA	USA	6	2020-01-01	2024-04-01	0.2853778447423333	0.25532641404838924	0.4353832060476108
Maryland_New York	New York	Maryland	Mideast	Mideast	USA	USA	6	2020-01-01	2024-04-01	0.2853778447423333	0.25532641404838924	0.4353832060476108
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	6	2020-01-01	2024-10-01	0.2521018595686603	0.24890712292665101	0.3123761833113385
New Jersey_Virginia	Virginia	New Jersey	Southeast	Mideast	USA	USA	6	2020-01-01	2024-10-01	0.2521018595686603	0.24890712292665101	0.3123761833113385
California_Texas	California	Texas	Far West	Southwest	USA	USA	6	2022-04-01	2024-10-01	0.2504670559903599	0.2607392986227943	0.3099322927528627
California_Texas	Texas	California	Southwest	Far West	USA	USA	6	2022-04-01	2024-10-01	0.2504670559903599	0.2607392986227943	0.3099322927528627
Maryland_North Carolina	Maryland	North Carolina	Mideast	Southeast	USA	USA	6	2020-01-01	2024-07-01	0.23838553535794177	0.21702649347947403	0.3452119793060079
Maryland_North Carolina	North Carolina	Maryland	Southeast	Mideast	USA	USA	6	2020-01-01	2024-07-01	0.23838553535794177	0.21702649347947403	0.3452119793060079
California_New York	California	New York	Far West	Mideast	USA	USA	6	2020-01-01	2024-01-01	0.23021763629255784	0.2358617933443618	0.254909153451928
California_New York	New York	California	Mideast	Far West	USA	USA	6	2020-01-01	2024-01-01	0.23021763629255784	0.2358617933443618	0.254909153451928
North Carolina_Pennsylvania	North Carolina	Pennsylvania	Southeast	Mideast	USA	USA	5	2020-01-01	2024-10-01	0.40899013265097617	0.3617252202792242	0.7098169756885822
North Carolina_Pennsylvania	Pennsylvania	North Carolina	Mideast	Southeast	USA	USA	5	2020-01-01	2024-10-01	0.40899013265097617	0.3617252202792242	0.7098169756885822
New Jersey_Texas	New Jersey	Texas	Mideast	Southwest	USA	USA	5	2022-07-01	2024-10-01	0.4026125044580541	0.26707732782057114	0.8636408220862328
New Jersey_Texas	Texas	New Jersey	Southwest	Mideast	USA	USA	5	2022-07-01	2024-10-01	0.4026125044580541	0.26707732782057114	0.8636408220862328
California_Ohio	California	Ohio	Far West	Great Lakes	USA	USA	5	2020-01-01	2024-10-01	0.3631133624072289	0.3827996229269696	0.4974444749183054
California_Ohio	Ohio	California	Great Lakes	Far West	USA	USA	5	2020-01-01	2024-10-01	0.3631133624072289	0.3827996229269696	0.4974444749183054
Colorado_Florida	Colorado	Florida	Rocky Mountain	Southeast	USA	USA	5	2020-01-01	2024-01-01	0.33416138242525695	0.33788352063958543	0.3980957247352497
Colorado_Florida	Florida	Colorado	Southeast	Rocky Mountain	USA	USA	5	2020-01-01	2024-01-01	0.33416138242525695	0.33788352063958543	0.3980957247352497
New York_Ohio	New York	Ohio	Mideast	Great Lakes	USA	USA	5	2020-01-01	2024-10-01	0.31036524764644496	0.25693415706017914	0.47668356657695543
New York_Ohio	Ohio	New York	Great Lakes	Mideast	USA	USA	5	2020-01-01	2024-10-01	0.31036524764644496	0.25693415706017914	0.47668356657695543
Florida_Massachusetts	Florida	Massachusetts	Southeast	New England	USA	USA	5	2020-01-01	2024-10-01	0.22428627277181076	0.20685708415100215	0.28416174784855613
Florida_Massachusetts	Massachusetts	Florida	New England	Southeast	USA	USA	5	2020-01-01	2024-10-01	0.22428627277181076	0.20685708415100215	0.28416174784855613
